Date,Close,Volume,Open,High,Low
09/29/2021,134.52,26337220,137.11,137.4,134.25
09/28/2021,136.18,42189660,139.09,139.61,135.7
09/27/2021,141.5,18844080,141.59,142.5,140.5
09/24/2021,142.63,14949340,140.95,142.9,140.85
09/23/2021,141.83,17276100,141.61,142.25,141.1
09/22/2021,140.94,22067800,140.05,141.58,139.47
09/21/2021,139.65,18129380,140.12,140.81,138.91
09/20/2021,139.02,34917720,139,139.36,137.05
09/17/2021,141.46,60039820,143.8,144.25,141.06
09/16/2021,144.37,20298840,145.12,145.2,143.42
09/15/2021,145.21,20653420,143.76,145.58,142.26
09/14/2021,143.41,18919140,144.16,144.73,142.91
09/13/2021,143.47,20175620,143.2,144.19,142.28
09/10/2021,141.92,32896620,145.44,146.02,141.74
09/09/2021,144.91,14798560,144.88,145.67,144.43
09/08/2021,144.88,15491660,145.39,145.55,144.2
09/07/2021,145.52,15172600,144.75,145.82,144.54
09/03/2021,144.78,19110480,144.15,145.38,143.51
09/02/2021,144.22,21855800,145.95,146.33,144.11
09/01/2021,145.84,15824680,145.65,146.82,145.61
08/31/2021,145.46,26756420,145.88,146.11,145
08/30/2021,145.47,16915900,144.7,146.49,144.6
08/27/2021,144.55,24568240,142.11,145.01,142.02
08/26/2021,142.12,14922000,142.62,143.13,142.09
08/25/2021,142.95,12843060,142.88,143.31,142.44
08/24/2021,142.4,15126260,141.54,143.01,141.35
08/23/2021,141.1,21089680,139,142.18,138.75
08/20/2021,138.44,15566740,137.08,138.61,136.47
08/19/2021,136.91,18295920,135.47,137.45,135.36
08/18/2021,136.57,14934460,137.12,138.29,136.42
08/17/2021,137.3,21274020,138.19,138.72,136.79
08/16/2021,138.92,18050840,138,138.99,136.17
08/13/2021,138.41,12580580,138.36,138.67,138.01
08/12/2021,138.39,14649400,137.71,138.42,136.78
08/11/2021,137.69,15209660,138.28,138.85,137.35
08/10/2021,138.1,16039080,138.08,138.55,137.23
08/09/2021,138,12379560,136.95,138.32,136.43
08/06/2021,137.04,13565020,136.3,137.08,136.05
08/05/2021,136.94,11871780,136.03,136.95,135.6
08/04/2021,136.03,16527140,136.25,136.54,135.42
08/03/2021,136.28,19064000,136,136.34,134.18
08/02/2021,135.99,20140040,135.48,136.02,134.67
07/30/2021,135.22,23954500,135.51,135.77,134.81
07/29/2021,136.54,19283340,136.38,137.15,136.14
07/28/2021,136.38,54688340,138.56,139.68,136.35
07/27/2021,136.8,42163060,140.01,140.01,135.1
07/26/2021,139.64,23052460,138.25,139.71,137.65
07/23/2021,137.82,26377740,135.26,138.81,134.7
07/22/2021,133.33,13608140,132.65,133.5,132.4
07/21/2021,132.6,14741640,130.79,132.62,130.6
07/20/2021,131.1,19083120,130,132,129.19
07/19/2021,129.25,25709320,131.16,131.25,128.54
07/16/2021,131.85,14861180,131.64,132.18,130.82
07/15/2021,131.27,16586320,132.5,132.6,130.6
07/14/2021,132.08,17918540,131.9,133,131.9
07/13/2021,130.99,16617960,130.88,132.04,130.64
07/12/2021,130.56,16950920,129.83,130.77,129.6
07/09/2021,129.57,15109320,128.94,129.85,128.94
07/08/2021,129.18,19779500,128.25,130.03,128.04
07/07/2021,130.08,16683720,130.34,130.64,129.76
07/06/2021,129.77,21350340,129.45,129.88,128.41
07/02/2021,128.72,21165120,126.84,128.85,126.77
07/01/2021,126.37,17124600,124.85,126.46,124.85
06/30/2021,125.32,24009560,125.65,125.8,124.76
06/29/2021,126.02,20949560,126.77,127,125.44
06/28/2021,126.82,28110860,127,127.34,125.97
06/25/2021,127,33485940,126.96,127.51,126.44
06/24/2021,127.28,18933240,127.05,127.54,126.96
06/23/2021,126.46,19693160,126.55,127.8,126.25
06/22/2021,127,20986200,126.45,127.27,126.03
06/21/2021,126.46,26256520,125.74,127.04,125.13
06/18/2021,125.57,53306200,125.71,126.39,124.6
06/17/2021,126.37,25755820,125.52,127.2,125.52
06/16/2021,125.7,26316760,126.25,126.52,124.15
06/15/2021,126.03,22182600,126.52,126.86,125.65
06/14/2021,126.35,22550440,125.67,126.41,125.05
06/11/2021,125.7,25246180,126.25,126.35,124.91
06/10/2021,126.08,31234660,124.7,126.16,124.7
06/09/2021,124.57,20126740,124.98,125.25,124.37
06/08/2021,124.14,25065060,124,124.72,123.41
06/07/2021,123.3,23849060,122.57,123.4,122.05
06/04/2021,122.59,25948680,121.13,122.69,120.89
06/03/2021,120.23,18345820,119.75,120.49,119.14
06/02/2021,121.06,17162100,121.77,122.1,120.21
06/01/2021,121.49,19165780,121.1,121.9,120.24
05/28/2021,120.58,24107640,121.1,121.41,120.38
05/27/2021,120.13,38962260,121.85,122,120.1
05/26/2021,121.68,21856380,120.64,122.15,120.63
05/25/2021,120.45,18838560,121,121.64,120.15
05/24/2021,120.33,21243780,118.35,120.92,118.01
05/21/2021,117.26,22832640,118.3,118.45,117.12
05/20/2021,117.8,23831860,116.4,118.02,116.05
05/19/2021,115.44,19350880,113.22,115.84,113.18
05/18/2021,115.17,17302380,116.85,117.16,115.16
05/17/2021,116.07,19835840,115.47,116.17,114.75
05/14/2021,115.81,26624960,114.59,116.06,114.17
05/13/2021,113.1,26670160,113.05,113.83,112.14
05/12/2021,111.95,34933280,113.09,114.27,111.5
05/11/2021,115.44,32110960,114.59,116.1,114.15
05/10/2021,117.08,26005420,118.74,118.9,116.74
05/07/2021,119.93,23277840,120,120.82,119.5
05/06/2021,119.07,20617180,117.53,119.14,117.12
05/05/2021,117.84,21805500,118.42,119.11,117.57
05/04/2021,117.71,35120300,118.49,118.96,115.59
05/03/2021,119.76,33787780,120.14,120.99,119.23
04/30/2021,120.51,39142600,120.22,121.36,120.11
04/29/2021,121.49,39553540,120.52,121.83,120.11
04/28/2021,119,59728780,120.36,122.62,118.74
04/27/2021,115.36,31971660,116.8,116.87,115.21
04/26/2021,116.34,20833000,116,117.06,115.69
04/23/2021,115.77,28703240,114.17,116.29,113.91
04/22/2021,113.4,21096160,114.66,115.19,112.82
04/21/2021,114.66,23934620,114.26,114.77,112.93
04/20/2021,114.68,21774980,115.39,115.48,113.59
04/19/2021,115.12,24688900,114.6,115.92,114.39
